CODMUN,longitude,latitude
25612,-74.77301626,4.282353046
76616,-76.2883563,4.157119017
76890,-76.38308517,3.860632017
76100,-76.18487178,4.338629455
76828,-76.31873669,4.212168239
76250,-76.23726872,4.509827977
76400,-76.10263445,4.534958935
76622,-76.15196101,4.413435044
76863,-76.1995018,4.57574888
76122,-75.83080418,4.335001502
76403,-76.0363512,4.524442904
76736,-75.93135151,4.270592054
76895,-76.0714431,4.390562423
76111,-76.29283936,3.918217865
76834,-76.20470226,4.098555326
76036,-76.16632724,4.174835975
76113,-76.15720256,4.208586752
76670,-76.22918036,3.994555405
76520,-76.30737278,3.544449802
76130,-76.34767725,3.409275183
76248,-76.31202989,3.684870937
76275,-76.23392174,3.323801402
76306,-76.26827541,3.724545373
76318,-76.33346312,3.761920726
76563,-76.24097972,3.419344829
25743,-74.40580436,4.381539827
25290,-74.36835292,4.345324475
25324,-74.7903047,4.518134262
25368,-74.69465848,4.562431622
25805,-74.45273877,4.347745729
25815,-74.63678597,4.460407202
25001,-74.66953596,4.375848922
25035,-74.53068069,4.56299689
25312,-74.35076067,4.519640826
25483,-74.82673728,4.39919216
25488,-74.62024144,4.306763261
25506,-74.47772876,4.089165708
25524,-74.48687773,4.190772977
25535,-74.30237947,4.308742481
25599,-74.59380326,4.52047868
25649,-74.4229958,4.179441736
25878,-74.52290962,4.440485088
41001,-75.29114114,2.932994187
73001,-75.15149663,4.406443956
63001,-75.65913146,4.54991247
52835,-78.74146779,1.817633024
19100,-76.96670604,1.837518012
19110,-76.64276806,3.015133628
19130,-76.57032221,2.622972985
19137,-76.48461594,2.7974303
19142,-76.40840933,3.033082524
19212,-76.26003522,3.173978763
19256,-76.81075057,2.45218376
19290,-77.07270467,1.682993783
19318,-77.8856127,2.570660343
19513,-76.31342291,3.22352047
19517,-75.97240907,2.645087449
19532,-76.98231195,2.11717631
19533,-76.27766059,1.106315221
19548,-76.52857224,2.638417192
19573,-76.41556658,3.227262108
19585,-76.49686076,2.342537808
19622,-76.74020827,2.262415063
19693,-76.76978278,1.838630236
19698,-76.48461147,3.011069572
19701,-76.57377772,1.702974184
19743,-76.37843993,2.611507642
19760,-76.61395595,2.255215562
19780,-76.69500094,2.954433455
19785,-76.92525095,2.038351287
19807,-76.68317865,2.350475698
19809,-77.66819915,2.777236301
19821,-76.2700407,2.954566538
19824,-76.40279156,2.509499776
19845,-76.45884622,3.173423902
