COD_CIUDAD_MUNI,NombreMun,NombreDep,MunDep,longitude,latitude
5368,Jericó,Antioquia,Jericó Antioquia,-75.78513302,5.790652033
5789,Támesis,Antioquia,Támesis Antioquia,-75.71424703,5.665121894
5856,Valparaíso,Antioquia,Valparaíso Antioquia,-75.62474071,5.614643998
5145,Caramanta,Antioquia,Caramanta Antioquia,-75.64535677,5.549040505
5364,Jardín,Antioquia,Jardín Antioquia,-75.8202205,5.597688367
5034,Andes,Antioquia,Andes Antioquia,-75.87927689,5.656830074
27245,El Carmen de Atrato,Chocó,El Carmen de Atrato Chocó,-76.14211252,5.899954387
66383,La Celia,Risaralda,La Celia Risaralda,-76.00321584,5.003315411
66400,La Virginia,Risaralda,La Virginia Risaralda,-75.87833336,4.897968001
66440,Marsella,Risaralda,Marsella Risaralda,-75.73853686,4.936612043
66456,Mistrató,Risaralda,Mistrató Risaralda,-75.8821794,5.297456389
66572,Pueblo Rico,Risaralda,Pueblo Rico Risaralda,-76.03082227,5.222035967
66594,Quinchía,Risaralda,Quinchía Risaralda,-75.73073817,5.341134533
66682,Santa Rosa de Cabal,Risaralda,Santa Rosa de Cabal Risaralda,-75.62409729,4.876450014
66687,Santuario,Risaralda,Santuario Risaralda,-75.96422752,5.074594035
66001,Pereira,Risaralda,Pereira Risaralda,-75.70034731,4.81599777
63190,Circasia,Quindio,Circasia Quindio,-75.63585223,4.617276689
5376,La Ceja,Antioquia,La Ceja Antioquia,-75.42800444,6.02974481
5400,La Unión,Antioquia,La Unión Antioquia,-75.36060174,5.974297396
5002,Abejorral,Antioquia,Abejorral Antioquia,-75.42894684,5.789485664
5467,Montebello,Antioquia,Montebello Antioquia,-75.5237806,5.946508875
5679,Santa Bárbara,Antioquia,Santa Bárbara Antioquia,-75.56793348,5.876009831
5390,La Pintada,Antioquia,La Pintada Antioquia,-75.60582248,5.741974391
5282,Fredonia,Antioquia,Fredonia Antioquia,-75.67437093,5.927671718
